Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,2065.03639781163
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,13965.3490058158
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,11510.5570882503
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,6670.33229673486
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,21910.1849853005
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,22063.904372429
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,13653.7495323965
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Australia,AUS,49854.0903194763
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Austria,AUT,56187.5840489439
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Azerbaijan,AZE,14403.8504687949
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Bahamas, The",BHS,37100.7439852383
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bahrain,BHR,45010.7114954419
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bangladesh,BGD,4753.72694673667
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Barbados,BRB,15638.8298973988
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belarus,BLR,19149.6378488406
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belgium,BEL,51934.1254632604
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belize,BLZ,7004.65815014062
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Benin,BEN,3287.30953781495
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bermuda,BMU,81797.8665200636
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bhutan,BTN,11832.1892646445
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bolivia,BOL,8724.47570163818
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bosnia and Herzegovina,BIH,14912.081852797
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Botswana,BWA,17766.5389683464
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Brazil,BRA,14651.6161809346
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,British Virgin Islands,VGB,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Brunei Darussalam,BRN,62099.5878894925
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bulgaria,BGR,23173.689117498
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Burkina Faso,BFA,2178.3234151007
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Burundi,BDI,751.663957194118
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cabo Verde,CPV,7171.83946474377
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cambodia,KHM,4388.80090863251
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cameroon,CMR,3642.27725826763
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Canada,CAN,49031.3799250897
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cayman Islands,CYM,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Central African Republic,CAF,944.868093487866
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Chad,TCD,1579.62669496964
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Channel Islands,CHI,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Chile,CHL,24226.1508878998
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,China,CHN,16116.6639313693
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Colombia,COL,14722.0460027297
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Comoros,COM,3059.50970459526
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Congo, Dem. Rep.",COD,1097.94885276596
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Congo, Rep.",COG,3673.11782715653
